token_id,meter,amount_cents,tariff_cents
1,MK0189542916,10000,2300
2,MK2293982757,5000,2300
3,MK2244809906,10000,2300
4,MK2282608285,50000,2300
5,MK0141128044,10000,2300
6,MK4718594154,10000,2300
7,MK3014162326,20000,2300
8,MK2267302230,50000,2300
9,MK0159059218,5000,2300
10,MK0176422127,10000,2300
11,MK2294107309,20000,2300
12,MK2287044027,20000,2300
13,MK0155199834,5000,2300
14,MK0153807362,5000,2300
15,MK3048246343,5000,2300
16,MK2295732706,50000,2300
17,MK3018940513,50000,2300
18,MK4749445415,50000,2300
19,MK4715931089,5000,2300
20,MK3083934028,20000,2300
21,MK4751563211,5000,2300
22,MK4790498801,5000,2300
23,MK22X,20000,2300
24,MK0115695639,20000,2300
25,MK3028565807,50000,2300
26,MK2279803014,50000,2300
27,MK3067873550,10000,2300
28,MK2244659429,20000,2300
29,MK4765728588,20000,2300
30,MK2292651000,10000,2300
31,MK3072579073,20000,2300
32,MK3075699963,5000,2300
33,MK4759548464,20000,2300
34,MK3089547072,20000,2300
35,MK3034863303,20000,2300
36,MK3050319538,50000,2300
37,MK4786404515,10000,2300
38,MK0197741253,20000,2300
39,MK3035151642,50000,2300
40,MK4790627828,20000,2300
41,MK0168845176,10000,2300
42,MK3097272712,10000,2300
43,MK3040202725,5000,2300
44,MK0152297494,10000,2300
45,MK3096159360,5000,2300
46,MK01X,50000,2300
47,MK3072373769,20000,2300
48,MK3066340734,50000,2300
49,MK2230937678,10000,2300
50,MK2293572074,50000,2300
51,MK4771293376,20000,2300
52,MK0119135881,20000,2300
53,MK0116050107,5000,2300
54,MK2287437375,5000,2300
55,MK2226215372,10000,2300
56,MK0198972409,5000,2300
57,MK4792163249,5000,2300
58,MK0143886599,50000,2300
59,MK3039635700,10000,2300
60,MK4732991800,10000,2300
61,MK0111007266,50000,2300
62,MK4746426293,10000,2300
63,MK2216841461,50000,2300
64,MK4717359639,10000,2300
65,MK4716688513,5000,2300
66,MK4721559905,50000,2300
67,MK0152222186,5000,2300
68,MK2296827275,50000,2300
69,MK30X,20000,2300
70,MK3067539094,5000,2300
71,MK4761034688,5000,2300
72,MK4760100065,50000,2300
73,MK4793607780,50000,2300
74,MK3094214146,50000,2300
75,MK2266142323,50000,2300
76,MK0139346574,20000,2300
77,MK2240123955,50000,2300
78,MK4753696582,20000,2300
79,MK4772296247,5000,2300
80,MK4752733583,5000,2300
81,MK2229262708,10000,2300
82,MK4780760444,5000,2300
83,MK2234045589,5000,2300
84,MK4713418182,5000,2300
85,MK3087722321,20000,2300
86,MK4785650123,10000,2300
87,MK4784265298,5000,2300
88,MK0120380098,10000,2300
89,MK0170953785,50000,2300
90,MK3090457291,50000,2300
91,MK2221175033,50000,2300
92,MK22X,10000,2300
93,MK2230961402,50000,2300
94,MK0122866209,50000,2300
95,MK2288714431,10000,2300
96,MK3036733465,10000,2300
97,MK0182213761,20000,0
98,MK3039206432,20000,2300
99,MK3074356006,50000,2300
100,MK0186489198,20000,2300
101,MK3074772890,10000,2300
102,MK2290396505,10000,2300
103,MK4774598900,5000,2300
104,MK4772732722,10000,2300
105,MK4739175153,20000,2300
106,MK0144711795,10000,2300
107,MK4744226585,10000,2300
108,MK3034597691,50000,2300
109,MK4725833335,5000,2300
110,MK3014848686,20000,2300
111,MK3010923914,5000,2300
112,MK3068548637,50000,2300
113,MK4738198643,50000,2300
114,MK0183062297,20000,2300
115,MK30X,5000,2300
116,MK4768843634,20000,2300
117,MK3059450236,50000,2300
118,MK3024383560,20000,2300
119,MK2278274269,20000,2300
120,MK3086019769,10000,2300
121,MK0159765161,50000,2300
122,MK4785132579,10000,2300
123,MK2284480615,20000,2300
124,MK2274742938,20000,2300
125,MK4724417793,10000,2300
126,MK3023402263,20000,2300
127,MK2217177001,10000,2300
128,MK2277741270,20000,2300
129,MK3054676066,50000,2300
130,MK4757363364,50000,2300
131,MK0146304219,5000,2300
132,MK4734809600,10000,2300
133,MK2227243783,10000,2300
134,MK0183111066,10000,2300
135,MK0143574644,20000,2300
136,MK4769704957,50000,2300
137,MK3084169575,20000,2300
138,MK30X,50000,2300
139,MK0195099404,5000,2300
140,MK0176018015,10000,2300
141,MK0135962596,10000,2300
142,MK2224975154,20000,2300
143,MK0172711924,5000,2300
144,MK4758305096,10000,2300
145,MK2282327253,5000,2300
146,MK3054070023,20000,2300
147,MK4790681755,5000,2300
148,MK3037525778,5000,2300
149,MK2239647277,50000,2300
150,MK4715731306,50000,2300
151,MK0131585198,50000,2300
152,MK2219124767,50000,2300
153,MK2250889419,5000,2300
154,MK2263882758,50000,2300
155,MK2214998285,20000,2300
156,MK3070095368,20000,2300
157,MK0110362461,10000,2300
158,MK3029257179,50000,2300
159,MK0138090082,5000,2300
160,MK2277599108,10000,2300
161,MK01X,5000,2300
162,MK2275803616,10000,2300
163,MK4764104201,50000,2300
164,MK2214407560,5000,2300
165,MK2215252744,50000,2300
166,MK4739381668,10000,2300
167,MK2273697854,10000,2300
168,MK3093544043,5000,2300
169,MK4789780980,5000,2300
170,MK3072465454,20000,2300
171,MK0185312575,20000,2300
172,MK3094436904,20000,2300
173,MK4717612921,50000,2300
174,MK4724064392,5000,2300
175,MK4732861835,5000,2300
176,MK4735381246,20000,2300
177,MK2255631759,50000,2300
178,MK4761313156,20000,2300
179,MK4749383982,10000,2300
180,MK4778112605,50000,2300
181,MK2233438575,50000,2300
182,MK0158697607,50000,2300
183,MK0169656973,50000,2300
184,MK30X,10000,2300
185,MK2215735600,10000,2300
186,MK4772670017,5000,2300
187,MK3041832544,5000,2300
188,MK2272605643,20000,2300
189,MK4719671301,10000,2300
190,MK4755428717,20000,2300
191,MK2220856749,10000,2300
192,MK4730491431,10000,2300
193,MK4740859965,20000,2300
194,MK0185490818,50000,2300
195,MK0172744755,10000,2300
196,MK4725103806,5000,2300
197,MK0144230256,5000,2300
198,MK2263570047,10000,2300
199,MK2299725727,20000,2300
200,MK2224890712,20000,2300
201,MK2237647176,5000,2300
202,MK2250168761,5000,2300
203,MK3035763778,50000,2300
204,MK3066754186,5000,2300
